symbol,start_time,end_time,interval,number_of_trades,close,high,low,open,volume,tic,toc
ENA,2024-04-02-13:45:00,2024-04-02-13:59:59,15m,120,0.70475,0.72859,0.6616,0.66413,211175.0,1712065500000,1712066399999
ENA,2024-04-02-14:00:00,2024-04-02-14:14:59,15m,552,0.76183,0.76823,0.69847,0.7022,813876.0,1712066400000,1712067299999
ENA,2024-04-02-14:15:00,2024-04-02-14:29:59,15m,268,0.739,0.76556,0.72769,0.76178,492330.0,1712067300000,1712068199999
ENA,2024-04-02-14:30:00,2024-04-02-14:44:59,15m,206,0.72743,0.73334,0.70222,0.73289,565620.0,1712068200000,1712069099999
ENA,2024-04-02-14:45:00,2024-04-02-14:59:59,15m,266,0.69002,0.73015,0.681,0.72851,790242.0,1712069100000,1712069999999
ENA,2024-04-02-15:00:00,2024-04-02-15:14:59,15m,111,0.70346,0.70503,0.67005,0.695,193245.0,1712070000000,1712070899999
ENA,2024-04-02-15:15:00,2024-04-02-15:29:59,15m,135,0.72132,0.73691,0.70235,0.70514,174448.0,1712070900000,1712071799999
ENA,2024-04-02-15:30:00,2024-04-02-15:44:59,15m,69,0.7233,0.73526,0.71175,0.7239,175934.0,1712071800000,1712072699999
ENA,2024-04-02-15:45:00,2024-04-02-15:59:59,15m,137,0.68724,0.72017,0.67975,0.72017,922395.0,1712072700000,1712073599999
ENA,2024-04-02-16:00:00,2024-04-02-16:14:59,15m,60,0.70341,0.71472,0.69252,0.69872,106783.0,1712073600000,1712074499999
ENA,2024-04-02-16:15:00,2024-04-02-16:29:59,15m,30,0.72303,0.72486,0.69986,0.7092,88958.0,1712074500000,1712075399999
ENA,2024-04-02-16:30:00,2024-04-02-16:44:59,15m,10,0.71431,0.72588,0.71127,0.72588,11849.0,1712075400000,1712076299999
ENA,2024-04-02-16:45:00,2024-04-02-16:59:59,15m,63,0.73202,0.74104,0.71181,0.71638,178684.0,1712076300000,1712077199999
ENA,2024-04-02-17:00:00,2024-04-02-17:14:59,15m,161,0.77311,0.78795,0.72999,0.73164,217228.0,1712077200000,1712078099999
ENA,2024-04-02-17:15:00,2024-04-02-17:29:59,15m,133,0.802,0.80398,0.75929,0.76787,257466.0,1712078100000,1712078999999
ENA,2024-04-02-17:30:00,2024-04-02-17:44:59,15m,175,0.826,0.83984,0.78152,0.79913,304111.0,1712079000000,1712079899999
ENA,2024-04-02-17:45:00,2024-04-02-17:59:59,15m,226,0.80901,0.82397,0.78733,0.82397,231342.0,1712079900000,1712080799999
ENA,2024-04-02-18:00:00,2024-04-02-18:14:59,15m,257,0.83547,0.85306,0.8087,0.8087,243122.0,1712080800000,1712081699999
ENA,2024-04-02-18:15:00,2024-04-02-18:29:59,15m,223,0.86809,0.87989,0.82667,0.83574,304656.0,1712081700000,1712082599999
ENA,2024-04-02-18:30:00,2024-04-02-18:44:59,15m,452,0.89184,0.90323,0.86065,0.86809,577424.0,1712082600000,1712083499999
ENA,2024-04-02-18:45:00,2024-04-02-18:59:59,15m,562,0.84774,0.90033,0.83912,0.89184,953703.0,1712083500000,1712084399999
ENA,2024-04-02-19:00:00,2024-04-02-19:14:59,15m,86,0.84059,0.87785,0.84059,0.85041,34566.0,1712084400000,1712085299999
ENA,2024-04-02-19:15:00,2024-04-02-19:29:59,15m,184,0.82229,0.84314,0.81,0.8404,200058.0,1712085300000,1712086199999
ENA,2024-04-02-19:30:00,2024-04-02-19:44:59,15m,119,0.84231,0.84889,0.819,0.81932,131699.0,1712086200000,1712087099999
ENA,2024-04-02-19:45:00,2024-04-02-19:59:59,15m,220,0.87233,0.8864,0.84234,0.84618,198727.0,1712087100000,1712087999999
ENA,2024-04-02-20:00:00,2024-04-02-20:14:59,15m,163,0.86149,0.87227,0.84654,0.87089,127790.0,1712088000000,1712088899999
ENA,2024-04-02-20:15:00,2024-04-02-20:29:59,15m,212,0.85789,0.86833,0.83421,0.86184,149190.0,1712088900000,1712089799999
ENA,2024-04-02-20:30:00,2024-04-02-20:44:59,15m,173,0.84366,0.85982,0.826,0.85775,181156.0,1712089800000,1712090699999
ENA,2024-04-02-20:45:00,2024-04-02-20:59:59,15m,143,0.82484,0.84431,0.8181,0.84421,186298.0,1712090700000,1712091599999
ENA,2024-04-02-21:00:00,2024-04-02-21:14:59,15m,67,0.84366,0.8523,0.82791,0.82791,82911.0,1712091600000,1712092499999
ENA,2024-04-02-21:15:00,2024-04-02-21:29:59,15m,47,0.84132,0.85245,0.83313,0.85166,34965.0,1712092500000,1712093399999
ENA,2024-04-02-21:30:00,2024-04-02-21:44:59,15m,66,0.83538,0.84575,0.82433,0.84279,84843.0,1712093400000,1712094299999
ENA,2024-04-02-21:45:00,2024-04-02-21:59:59,15m,153,0.86449,0.87892,0.83646,0.8379,257825.0,1712094300000,1712095199999
ENA,2024-04-02-22:00:00,2024-04-02-22:14:59,15m,117,0.86161,0.8727,0.84841,0.85949,190616.0,1712095200000,1712096099999
ENA,2024-04-02-22:15:00,2024-04-02-22:29:59,15m,128,0.82804,0.86669,0.82804,0.86531,50108.0,1712096100000,1712096999999
ENA,2024-04-02-22:30:00,2024-04-02-22:44:59,15m,154,0.84886,0.85502,0.82431,0.82645,103871.0,1712097000000,1712097899999
ENA,2024-04-02-22:45:00,2024-04-02-22:59:59,15m,71,0.84542,0.8498,0.83634,0.84656,47296.0,1712097900000,1712098799999
ENA,2024-04-02-23:00:00,2024-04-02-23:14:59,15m,113,0.83643,0.85054,0.82973,0.84764,171075.0,1712098800000,1712099699999
ENA,2024-04-02-23:15:00,2024-04-02-23:29:59,15m,385,0.78008,0.84067,0.7609,0.83564,581887.0,1712099700000,1712100599999
ENA,2024-04-02-23:30:00,2024-04-02-23:44:59,15m,305,0.76541,0.79637,0.7549,0.77836,365938.0,1712100600000,1712101499999
ENA,2024-04-02-23:45:00,2024-04-02-23:59:59,15m,166,0.77752,0.7886,0.76352,0.76352,179600.0,1712101500000,1712102399999
ENA,2024-04-03-00:00:00,2024-04-03-00:14:59,15m,295,0.71863,0.7859,0.71138,0.77513,223234.0,1712102400000,1712103299999
ENA,2024-04-03-00:15:00,2024-04-03-00:29:59,15m,158,0.73673,0.74356,0.70539,0.72085,142014.0,1712103300000,1712104199999
ENA,2024-04-03-00:30:00,2024-04-03-00:44:59,15m,77,0.76357,0.76357,0.72701,0.7352,51620.0,1712104200000,1712105099999
ENA,2024-04-03-00:45:00,2024-04-03-00:59:59,15m,90,0.77961,0.77961,0.74086,0.76184,67130.0,1712105100000,1712105999999
